model,steering_vector,position,method,set,r2,intercept,top_features
gemma2,3949,-1,diff,pos-vs-neg,,,blocks.0.hook_resid_post:1.4464; blocks.20.hook_resid_post:-1.3944; blocks.9.ln1_post.hook_normalized:-0.7397; blocks.13.ln2_post.hook_normalized:-0.6558; blocks.12.ln1_post.hook_normalized:0.5923; blocks.20.ln2_post.hook_normalized:-0.4283; blocks.1.ln1_post.hook_normalized:0.4115; blocks.17.ln1_post.hook_normalized:-0.3962; blocks.14.ln2_post.hook_normalized:-0.3888; blocks.8.ln1_post.hook_normalized:-0.3866
gemma2,3949,-2,diff,pos-vs-neg,,,blocks.20.hook_resid_post:4.3681; blocks.0.hook_resid_post:-1.6429; blocks.9.ln1_post.hook_normalized:-0.7355; blocks.7.ln2_post.hook_normalized:0.5698; blocks.11.ln2_post.hook_normalized:0.5450; blocks.4.ln2_post.hook_normalized:0.4726; blocks.3.ln2_post.hook_normalized:-0.4716; blocks.8.ln1_post.hook_normalized:-0.4516; blocks.4.ln1_post.hook_normalized:0.4155; blocks.8.ln2_post.hook_normalized:0.4033
gemma2,3949,-3,diff,pos-vs-neg,,,blocks.20.hook_resid_post:7.4100; blocks.0.hook_resid_post:-1.4185; blocks.0.ln1_post.hook_normalized:1.1203; blocks.9.ln1_post.hook_normalized:-0.6968; blocks.11.ln2_post.hook_normalized:0.6868; blocks.8.ln2_post.hook_normalized:0.6132; blocks.13.ln2_post.hook_normalized:-0.5358; blocks.20.ln2_post.hook_normalized:0.5337; blocks.8.ln1_post.hook_normalized:-0.4917; blocks.10.ln1_post.hook_normalized:-0.4321
gemma2,3949,-1,Component Similarities,All,,,blocks.0.hook_resid_post:0.0781; blocks.20.ln2_post.hook_normalized:-0.0542; blocks.12.ln1_post.hook_normalized:0.0498; blocks.3.ln2_post.hook_normalized:-0.0496; blocks.13.ln2_post.hook_normalized:-0.0491; blocks.17.ln1_post.hook_normalized:-0.0483; blocks.8.ln1_post.hook_normalized:-0.0471; blocks.9.ln1_post.hook_normalized:-0.0471; blocks.19.ln2_post.hook_normalized:0.0447; blocks.10.ln1_post.hook_normalized:-0.0317
gemma2,3949,-2,Component Similarities,All,,,blocks.0.hook_resid_post:-0.0820; blocks.3.ln2_post.hook_normalized:-0.0649; blocks.20.hook_resid_post:0.0581; blocks.8.ln1_post.hook_normalized:-0.0532; blocks.7.ln2_post.hook_normalized:0.0522; blocks.19.ln1_post.hook_normalized:-0.0500; blocks.9.ln1_post.hook_normalized:-0.0496; blocks.4.ln2_post.hook_normalized:0.0483; blocks.4.ln1_post.hook_normalized:0.0452; blocks.11.ln2_post.hook_normalized:0.0437
gemma2,3949,-3,Component Similarities,All,,,blocks.0.hook_resid_post:-0.0850; blocks.20.hook_resid_post:0.0781; blocks.0.ln1_post.hook_normalized:0.0737; blocks.20.ln2_post.hook_normalized:0.0659; blocks.8.ln2_post.hook_normalized:0.0625; blocks.8.ln1_post.hook_normalized:-0.0603; blocks.11.ln2_post.hook_normalized:0.0571; blocks.9.ln1_post.hook_normalized:-0.0481; blocks.13.ln2_post.hook_normalized:-0.0481; blocks.19.ln2_post.hook_normalized:0.0476
gemma2,4086,-1,lars,negative,0.48795074863951626,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.15.ln1_post.hook_normalized:0.0000; blocks.15.ln2_post.hook_normalized:0.0000
gemma2,4086,-1,lars,positive,0.6046509289595112,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:2.4532; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:2.5742; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,4086,-2,lars,negative,0.5871488557894387,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,4086,-2,lars,positive,0.7093064395873501,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:1.2743; blocks.13.ln2_post.hook_normalized:2.3779; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,4086,-3,lars,negative,0.4538719149103635,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,4086,-3,lars,positive,0.6282783816299438,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.1125; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,4086,-1,diff,pos-vs-neg,,,blocks.20.hook_resid_post:7.1536; blocks.0.hook_resid_post:1.8693; blocks.11.ln1_post.hook_normalized:1.1226; blocks.7.ln1_post.hook_normalized:1.0001; blocks.16.ln1_post.hook_normalized:0.8342; blocks.14.ln2_post.hook_normalized:-0.6160; blocks.1.ln2_post.hook_normalized:-0.5931; blocks.1.ln1_post.hook_normalized:0.5862; blocks.4.ln1_post.hook_normalized:0.5294; blocks.17.ln1_post.hook_normalized:-0.5007
gemma2,4086,-2,diff,pos-vs-neg,,,blocks.20.hook_resid_post:15.5677; blocks.0.ln1_post.hook_normalized:0.8004; blocks.11.ln2_post.hook_normalized:0.7010; blocks.0.hook_resid_post:-0.6110; blocks.4.ln1_post.hook_normalized:0.5445; blocks.5.ln1_post.hook_normalized:0.4886; blocks.6.ln1_post.hook_normalized:0.4761; blocks.16.ln1_post.hook_normalized:0.4549; blocks.8.ln2_post.hook_normalized:0.4530; blocks.6.ln2_post.hook_normalized:0.4416
gemma2,4086,-3,diff,pos-vs-neg,,,blocks.20.hook_resid_post:18.9038; blocks.0.ln1_post.hook_normalized:1.3856; blocks.4.ln1_post.hook_normalized:0.5866; blocks.11.ln2_post.hook_normalized:0.5775; blocks.0.hook_resid_post:-0.5744; blocks.8.ln2_post.hook_normalized:0.5599; blocks.5.ln1_post.hook_normalized:0.5594; blocks.11.ln1_post.hook_normalized:0.5107; blocks.16.ln1_post.hook_normalized:0.5069; blocks.18.ln2_post.hook_normalized:0.4644
gemma2,4086,-1,Component Similarities,All,,,blocks.0.hook_resid_post:0.0864; blocks.16.ln1_post.hook_normalized:0.0825; blocks.20.hook_resid_post:0.0791; blocks.7.ln1_post.hook_normalized:0.0664; blocks.11.ln1_post.hook_normalized:0.0649; blocks.17.ln1_post.hook_normalized:-0.0630; blocks.1.ln2_post.hook_normalized:-0.0601; blocks.19.ln2_post.hook_normalized:0.0579; blocks.20.ln2_post.hook_normalized:-0.0525; blocks.4.ln1_post.hook_normalized:0.0500
gemma2,4086,-2,Component Similarities,All,,,blocks.20.hook_resid_post:0.1699; blocks.6.ln1_post.hook_normalized:0.0703; blocks.4.ln1_post.hook_normalized:0.0583; blocks.0.ln1_post.hook_normalized:0.0559; blocks.11.ln2_post.hook_normalized:0.0559; blocks.16.ln1_post.hook_normalized:0.0498; blocks.20.ln1_post.hook_normalized:0.0498; blocks.3.ln2_post.hook_normalized:-0.0469; blocks.15.ln1_post.hook_normalized:0.0457; blocks.1.ln2_post.hook_normalized:0.0439
gemma2,4086,-3,Component Similarities,All,,,blocks.20.hook_resid_post:0.2041; blocks.0.ln1_post.hook_normalized:0.0933; blocks.20.ln1_post.hook_normalized:0.0723; blocks.4.ln1_post.hook_normalized:0.0669; blocks.18.ln2_post.hook_normalized:0.0593; blocks.8.ln2_post.hook_normalized:0.0566; blocks.16.ln1_post.hook_normalized:0.0554; blocks.20.ln2_post.hook_normalized:0.0488; blocks.3.ln1_post.hook_normalized:0.0474; blocks.11.ln2_post.hook_normalized:0.0474
gemma2,4287,-1,lars,negative,0.6936666310073147,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:1.0631; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,4287,-1,lars,positive,0.4904376093067656,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,4287,-2,lars,negative,0.4803792938986622,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.8609; blocks.13.ln1_post.hook_normalized:1.4828; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:1.3509; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,4287,-2,lars,positive,0.584086428980622,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:3.1170; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,4287,-3,lars,negative,0.637760408187461,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:4.1891; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,4287,-3,lars,positive,0.42861101624180353,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,4287,-1,diff,pos-vs-neg,,,blocks.0.hook_resid_post:3.7384; blocks.0.ln2_post.hook_normalized:-0.8874; blocks.1.ln2_post.hook_normalized:-0.8335; blocks.7.ln1_post.hook_normalized:0.5203; blocks.11.ln1_post.hook_normalized:0.5147; blocks.13.ln2_post.hook_normalized:-0.5129; blocks.3.ln2_post.hook_normalized:-0.4947; blocks.0.ln1_post.hook_normalized:-0.4665; blocks.8.ln2_post.hook_normalized:-0.4451; blocks.20.hook_resid_post:-0.4187
gemma2,4287,-2,diff,pos-vs-neg,,,blocks.0.hook_resid_post:-2.0516; blocks.3.ln2_post.hook_normalized:-0.5834; blocks.1.ln2_post.hook_normalized:0.5387; blocks.20.hook_resid_post:-0.5326; blocks.0.ln2_post.hook_normalized:0.5051; blocks.8.ln2_post.hook_normalized:-0.4498; blocks.7.ln1_post.hook_normalized:0.4364; blocks.19.ln1_post.hook_normalized:-0.3854; blocks.13.ln2_post.hook_normalized:-0.3782; blocks.11.ln1_post.hook_normalized:0.3415
gemma2,4287,-3,diff,pos-vs-neg,,,blocks.20.hook_resid_post:-5.3770; blocks.0.hook_resid_post:-2.4258; blocks.0.ln1_post.hook_normalized:1.0302; blocks.13.ln2_post.hook_normalized:-0.7108; blocks.8.ln2_post.hook_normalized:-0.4258; blocks.12.ln2_post.hook_normalized:-0.4031; blocks.7.ln1_post.hook_normalized:0.3849; blocks.19.ln1_post.hook_normalized:-0.3360; blocks.9.ln1_post.hook_normalized:0.3045; blocks.6.ln2_post.hook_normalized:-0.2983
gemma2,4287,-1,Component Similarities,All,,,blocks.0.hook_resid_post:0.1719; blocks.1.ln2_post.hook_normalized:-0.0845; blocks.3.ln2_post.hook_normalized:-0.0732; blocks.19.ln1_post.hook_normalized:-0.0583; blocks.0.ln2_post.hook_normalized:-0.0522; blocks.15.ln1_post.hook_normalized:0.0430; blocks.8.ln2_post.hook_normalized:-0.0417; blocks.13.ln2_post.hook_normalized:-0.0386; blocks.20.ln2_post.hook_normalized:-0.0378; blocks.7.ln1_post.hook_normalized:0.0339
gemma2,4287,-2,Component Similarities,All,,,blocks.0.hook_resid_post:-0.1069; blocks.1.ln2_post.hook_normalized:0.0713; blocks.3.ln2_post.hook_normalized:-0.0703; blocks.19.ln1_post.hook_normalized:-0.0625; blocks.0.ln2_post.hook_normalized:0.0444; blocks.15.ln1_post.hook_normalized:0.0410; blocks.8.ln2_post.hook_normalized:-0.0405; blocks.13.ln2_post.hook_normalized:-0.0337; blocks.7.ln1_post.hook_normalized:0.0334; blocks.7.ln2_post.hook_normalized:0.0251
gemma2,4287,-3,Component Similarities,All,,,blocks.0.hook_resid_post:-0.1416; blocks.13.ln2_post.hook_normalized:-0.0649; blocks.0.ln1_post.hook_normalized:0.0601; blocks.20.hook_resid_post:-0.0576; blocks.19.ln1_post.hook_normalized:-0.0571; blocks.3.ln2_post.hook_normalized:-0.0430; blocks.8.ln2_post.hook_normalized:-0.0425; blocks.20.ln1_post.hook_normalized:0.0398; blocks.12.ln2_post.hook_normalized:-0.0352; blocks.3.ln1_post.hook_normalized:0.0330
gemma2,5548,-1,lars,negative,0.35329573209720977,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,5548,-1,lars,positive,0.28756241755123846,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:1.4449; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,5548,-2,lars,negative,0.6107554617180946,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:2.3641; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,5548,-2,lars,positive,0.4249977294849462,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:5.4074; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,5548,-3,lars,negative,0.6688348955333154,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:2.6436; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.8335; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,5548,-3,lars,positive,0.569621798051327,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:1.9432; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:1.7073; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,5548,-1,diff,pos-vs-neg,,,blocks.0.hook_resid_post:2.6311; blocks.20.hook_resid_post:-1.8867; blocks.11.ln1_post.hook_normalized:0.8100; blocks.20.ln2_post.hook_normalized:-0.6638; blocks.13.ln2_post.hook_normalized:-0.5531; blocks.16.ln1_post.hook_normalized:0.5333; blocks.1.ln2_post.hook_normalized:-0.5183; blocks.19.ln1_post.hook_normalized:-0.4768; blocks.7.ln1_post.hook_normalized:0.4042; blocks.0.ln2_post.hook_normalized:-0.3911
gemma2,5548,-2,diff,pos-vs-neg,,,blocks.20.hook_resid_post:8.0238; blocks.0.hook_resid_post:-1.0709; blocks.0.ln1_post.hook_normalized:0.6705; blocks.0.ln2_post.hook_normalized:0.6172; blocks.11.ln2_post.hook_normalized:0.6092; blocks.6.ln2_post.hook_normalized:0.4610; blocks.4.ln2_post.hook_normalized:0.4508; blocks.8.ln2_post.hook_normalized:0.3977; blocks.9.ln2_post.hook_normalized:0.3740; blocks.3.ln2_post.hook_normalized:-0.3711
gemma2,5548,-3,diff,pos-vs-neg,,,blocks.20.hook_resid_post:6.9058; blocks.0.hook_resid_post:-1.7203; blocks.0.ln1_post.hook_normalized:1.1608; blocks.11.ln2_post.hook_normalized:0.5317; blocks.13.ln2_post.hook_normalized:-0.5132; blocks.20.ln2_post.hook_normalized:0.4766; blocks.8.ln2_post.hook_normalized:0.4260; blocks.17.ln1_post.hook_normalized:0.3964; blocks.17.ln2_post.hook_normalized:0.3760; blocks.6.ln2_post.hook_normalized:0.3572
gemma2,5548,-1,Component Similarities,All,,,blocks.0.hook_resid_post:0.1133; blocks.19.ln1_post.hook_normalized:-0.0703; blocks.20.ln2_post.hook_normalized:-0.0688; blocks.1.ln2_post.hook_normalized:-0.0518; blocks.16.ln1_post.hook_normalized:0.0500; blocks.11.ln1_post.hook_normalized:0.0488; blocks.13.ln2_post.hook_normalized:-0.0398; blocks.17.ln1_post.hook_normalized:-0.0337; blocks.18.ln2_post.hook_normalized:-0.0315; blocks.3.ln2_post.hook_normalized:-0.0273
gemma2,5548,-2,Component Similarities,All,,,blocks.20.hook_resid_post:0.0830; blocks.3.ln2_post.hook_normalized:-0.0588; blocks.19.ln1_post.hook_normalized:-0.0557; blocks.0.ln2_post.hook_normalized:0.0547; blocks.0.ln1_post.hook_normalized:0.0515; blocks.11.ln2_post.hook_normalized:0.0474; blocks.0.hook_resid_post:-0.0469; blocks.4.ln2_post.hook_normalized:0.0457; blocks.20.ln2_post.hook_normalized:0.0437; blocks.1.ln2_post.hook_normalized:0.0430
gemma2,5548,-3,Component Similarities,All,,,blocks.0.hook_resid_post:-0.1055; blocks.0.ln1_post.hook_normalized:0.0830; blocks.20.hook_resid_post:0.0742; blocks.20.ln2_post.hook_normalized:0.0620; blocks.17.ln1_post.hook_normalized:0.0481; blocks.13.ln2_post.hook_normalized:-0.0471; blocks.20.ln1_post.hook_normalized:0.0454; blocks.11.ln2_post.hook_normalized:0.0447; blocks.8.ln2_post.hook_normalized:0.0422; blocks.17.ln2_post.hook_normalized:0.0415
gemma2,6832,-1,lars,negative,0.634376776721133,,blocks.0.ln1_post.hook_normalized:3.9980; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0692
gemma2,6832,-1,lars,positive,0.652994117793166,,blocks.0.ln1_post.hook_normalized:1.4605; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.1858; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,6832,-2,lars,negative,0.4542348595883243,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:1.7437; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,6832,-2,lars,positive,0.2648050784125736,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,6832,-3,lars,negative,0.6336075513066945,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.9834; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,6832,-3,lars,positive,-0.9971295185070748,,blocks.0.ln1_post.hook_normalized:0.0000; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:7.7761; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:9.1138
gemma2,6832,-1,diff,pos-vs-neg,,,blocks.20.hook_resid_post:4.0403; blocks.0.hook_resid_post:0.9690; blocks.0.ln2_post.hook_normalized:-0.6408; blocks.9.ln1_post.hook_normalized:-0.6349; blocks.20.ln2_post.hook_normalized:-0.4565; blocks.10.ln2_post.hook_normalized:-0.3655; blocks.13.ln1_post.hook_normalized:-0.3565; blocks.8.ln2_post.hook_normalized:0.3554; blocks.11.ln1_post.hook_normalized:0.3421; blocks.19.ln2_post.hook_normalized:0.3271
gemma2,6832,-2,diff,pos-vs-neg,,,blocks.20.hook_resid_post:10.7429; blocks.0.hook_resid_post:-1.3115; blocks.9.ln1_post.hook_normalized:-0.8101; blocks.11.ln2_post.hook_normalized:0.8070; blocks.8.ln2_post.hook_normalized:0.7643; blocks.0.ln1_post.hook_normalized:0.6180; blocks.3.ln2_post.hook_normalized:-0.5030; blocks.10.ln2_post.hook_normalized:-0.4580; blocks.10.ln1_post.hook_normalized:-0.4546; blocks.19.ln2_post.hook_normalized:0.4503
gemma2,6832,-3,diff,pos-vs-neg,,,blocks.20.hook_resid_post:22.4649; blocks.0.ln1_post.hook_normalized:1.1966; blocks.8.ln2_post.hook_normalized:0.7580; blocks.9.ln1_post.hook_normalized:-0.6999; blocks.11.ln2_post.hook_normalized:0.6492; blocks.20.ln2_post.hook_normalized:0.6361; blocks.17.ln2_post.hook_normalized:0.5837; blocks.9.ln2_post.hook_normalized:0.5816; blocks.19.ln2_post.hook_normalized:0.5593; blocks.18.ln2_post.hook_normalized:0.5180
gemma2,6832,-1,Component Similarities,All,,,blocks.20.ln2_post.hook_normalized:-0.0586; blocks.0.hook_resid_post:0.0566; blocks.0.ln2_post.hook_normalized:-0.0518; blocks.20.hook_resid_post:0.0427; blocks.9.ln1_post.hook_normalized:-0.0410; blocks.6.ln1_post.hook_normalized:0.0398; blocks.17.ln1_post.hook_normalized:-0.0381; blocks.19.ln2_post.hook_normalized:0.0378; blocks.13.ln1_post.hook_normalized:-0.0332; blocks.8.ln2_post.hook_normalized:0.0315
gemma2,6832,-2,Component Similarities,All,,,blocks.20.hook_resid_post:0.1138; blocks.3.ln2_post.hook_normalized:-0.0723; blocks.8.ln2_post.hook_normalized:0.0664; blocks.0.hook_resid_post:-0.0613; blocks.11.ln2_post.hook_normalized:0.0598; blocks.19.ln2_post.hook_normalized:0.0574; blocks.20.ln2_post.hook_normalized:0.0547; blocks.1.ln2_post.hook_normalized:0.0496; blocks.9.ln1_post.hook_normalized:-0.0496; blocks.0.ln1_post.hook_normalized:0.0457
